,text,sentiment
0,Congrats Talented Athlete Great size and athletic ability Acceleration and speed Great vision and elusiveness Great job throwing w accuracy on the run VolNation PoweredbytheT,positive
1,Me and the girls already been knew footballsoccer had the hottest players,positive
2,China is in the throes of a multibilliondollar splurge on new football stadiums ramping up ambitions to be a superpower in the sport and host a World Cup as early asRead More,positive
3,Nicole is the best in the business,positive
4,Fantastic well done Anna  Shes a great football player too ,positive
5,Hey anyone out there wanna win one of these gift cards While Chibi gives the rules Ill be handing out the schedules A hint Think of it as football Murican before football TuneInTuesday,positive
6,Congratulations Q,positive
7,All depends who they value and want Ive read some of your logic in regards to football If theres a game changer in your mind you go get him If a WR is there I want and need  go get him U need help and talent Get who u wantneed,positive
8,Its his first love which is football and idc how much she loves him she wont understand that and Im sure his pops does Its a son and pops moment right now not gf,positive
9,Cup winners Manor Green just beat Leipzig in the League of Champions Final Pro App,positive
10,You need that 3rd dB The slot has become one of the most important positions in football now I understood the pick And ray said they was going to draft a dB and they did Crazy aint it,positive
11,Judging by the photo I have to assume you placed hexes on at least half a football team,negative
12,I miss football ,negative
13,If games will be played behind closed doors until the end of the year as is very likely the Old Trafford atmosphere isnt a selling point Football is changing and the transfer market will adapt accordingly,negative
14,Lol people bang on about finishing the prem league season will maintain its integrity  bollocks Everyones in it for themselves Clubs dont want to pay back money Fans want to see their team benefit in one way or another Reality is football is secondary to human life,negative
15,Only in Scotland would this be the focus of the football media Why are you not demanding a draft blueprint for possibly finishing games like Switzerland have done or the potential financial impact this will have on clubs The lazy juicy story is just too tempting every time eh,negative
16,Im furloughed but working as a volunteer as our company making NHS visors and donating themso good deeds getting me by missing football bad tho,negative
17,No way SEC is sitting out Those are the states with all the protests going on to open things up Theyll have an uprising if they dont play college football in the south,negative
18,under 6ft and a football twitter virgin i suggest electric chair,negative
19,I get sad when results dont go my way in football but that night i cried Ill never forget,negative
20,His avi is a photoshopped pic of himself on a football field Let that sink in,negative
21,Definitely no to football  can have that man walking around w CTE lol,negative
22,Check out the financing of the Manchester United Football Club purchase by the Glazers the Buccaneers owners Its a strange one which has their fans annoyed to this day,negative
23,College football player Gets drafted into the NFL Bitches coming in with rape allegations,negative
24,phukong how can you be so bad at football smh,negative
25,When the Badgers cant play football in front of fans this fall we all know who to blame,negative
26,Im so confused  why yall coming crazy at that football player white girlfriend  amp why his mom snatch her up like that wtf,negative
27,years later to the day Offaly beat Dublin at Parnell Park in a very noteworthy league game and a very one for Dublin football  Offalys Finbarr Cullen had his jaw broken off the ball and Mickey Whelan resigned after the game having been heavily booed walking off the pitch,negative
28,Photo Joe Burrow shows off his new NoBengals jersey,neutral
29,youre not wrong but there are a lot of black football players who purposely pursue white women thats a fact,neutral
30,Why is starting next season more important than finishing this one And why are you putting an artificialweek time limit on it Its not impossible at all  it can finish whenever football resumes however long that takes,neutral
31,got the idea from him GoDawgs  202MI 18mins2832 light jog,neutral
32,I cant tell by the videos if these mf football drafts are happy or not ,neutral
33,The College Football Industry Needs More COVIDTesting Or There May Not Be ASeason via,neutral
34,Texans have engaged in very preliminary discussions on contract extension with DeshaunWatson per report News rumors NFL Football Sports,neutral
35,2nd and 3rd round coverage of the NFLDraft begins atpm on ABC How many players from Palmetto State schools do you think will be picked on Friday night,neutral
36,I hate the saying that there are more important things than football If you live on your own with health issues theres nothing more important than meeting up with great pals once or twice a week ,neutral
37,me all freshman year when i found out i was on the varsity squad for football cheer,neutral
38,Joe Judge laid down the law and sounded a lot like a Bill Belichick disciple in his introductory phone call to firstround pick Andrew Thomas writes,neutral
39,The City has roughly a population of 100k and never had a real football club playing in the higher divisons Also they have a connection to Japan a lot of young japanese players come over and try to become a star in Europe through this Club,neutral
40,Football team pounding the Bison inregular season Semi final win over Troy State infootball playoffsClass 9B football championship game WNIT semi final demolishing of Oregon behind apoint barrage,neutral
41,Attention allHigh School Football Cheerleaders Please fill out this form in the link below We will be in contact in a few weeks Everyone stay safe and healthy,neutral
42,Football,neutral
43,Football,neutral
44,Salty northerner,neutral
45,I promise my tweet about our football team was jokes this region kinda tough tho ,neutral
46,Map Where every NFL tight end drafted in the pastyears played high school football,neutral
47,Ahhh I found an old Vampire High fan fiction I wrote its so odd to look at pictures and go wait that football player vampire played the dad on Zombies what is my life imold vampirehigh,neutral
48,Willian to Liverpool  Timo Werners release clause to be paid  Diogo Dalot to PSG  The latest transfer gossip More  football,neutral
49,Football Quiz night with the lads LockdownSpecial Class ,neutral
